,Date,Price,Symbol,Volume RSI,Price RSI,20 SMA,50 SMA,(x) 20 SMA,(x) 50 SMA,50 EMA,200 EMA,(x) 50 EMA,(x) 200 EMA,50/200 MACD SMA,50/200 MACD EMA,BOLU,BOLD,(x) BOLU,(x) BOLD,Price Rate of Change,Stochastic Oscillator,Williams R,VIX,Index Dividend Yield,Index P/E,Index P/Book,1 Day Return,Gain/Loss Flag,Up/Down Indicator,7 Day Return,30 Day Return,90 Day Return
954,2019-10-22,47.5,ENB.TO,0.30357227862973524,-0.3784588184728415,-0.49563163157077794,-1.0887454387820557,46.87200012207031,45.81680000305176,-1.0534297104614732,-1.396858774339727,46.37780959845094,46.478169444502974,-0.6178999175609206,1.382325404193923,-0.6912939851297446,0.11732123437800036,48.04132532965616,45.66267476189657,-0.5062346571161466,1.1443745536157117,-1.144374553615709,-0.9749891088612802,-0.5194708670414017,0.8292361025844139,0.13251001986260294,0.006947406969572301,1,-1.0,0.009894762541118318,0.062105279219777154,0.07178947047183382
955,2019-10-23,47.83000183105469,ENB.TO,0.23599109407445237,0.7170206138247859,-0.7077840406126721,-1.2064713117197898,46.92050018310547,45.88100006103516,-1.2075200916269007,-1.5565983026844543,46.434758313455006,46.49162051302588,-0.5375984680438216,1.5737548654299969,-0.7957469649725728,0.40631904878449493,48.15353624567833,45.6377971436039,0.12185195228959712,1.1108550446552286,-1.1108550446552254,-1.1997666002335041,-0.8795950745220215,1.1022352872376557,0.38927140804998406,0.0,1,-1.0,0.012962552961522489,0.05477731197124225,0.05791337104377847
956,2019-10-24,47.83000183105469,ENB.TO,0.12750967266884855,0.6291671459299881,-0.6484847472814259,-1.1519717274896255,46.96800022125244,45.928000106811524,-1.144160437438144,-1.4965083957761993,46.48947374551774,46.50493774007094,-0.4685880251032205,1.7366780170004184,-0.7080920201866615,0.3892945451381008,48.262135854032366,45.626530934704604,0.45938492542556697,1.079767577121458,-1.0797675771214552,-1.3465313772107068,-0.9164707493673665,1.295888802331142,0.6713996104895771,-0.003763334691300635,-1,1.0,0.013589748824964776,0.06063135271089948,0.08739277295541781
957,2019-10-25,47.650001525878906,ENB.TO,0.044235467388991874,0.5754006649886846,-0.4465080259715956,-0.975502482659138,46.98250026702881,46.00860015869141,-0.9626549474744321,-1.3249640010221244,46.53498463886524,46.51633140958147,-0.3416593578963023,1.8489560172461406,-0.5370840555580901,0.19328061382037656,48.316511649605346,45.61682181088456,-0.2214655295946542,0.713314316492344,-0.7133143164923416,-1.767221067745725,-1.279491719919872,1.627276904824264,1.197763906908748,0.0037775508795738766,-1,3.0,0.019936976239680604,0.0724028717264249,0.08373552436514631
958,2019-10-28,47.83000183105469,ENB.TO,-1.4164448918276513,0.6740736398928734,-0.5994770239705818,-1.0124787524650787,46.985000419616696,46.08380020141602,-1.031488080845888,-1.3944287272787903,46.585769626794246,46.52940275705882,-0.2100208799618385,1.9432691539240665,-0.6103499407183814,0.3681454416479877,48.35963870092084,45.599361568651105,0.273149946494432,1.030954794466664,-1.030954794466661,-1.5212336683796361,-1.5960971890451834,1.9233059308227072,1.6705654491095723,-0.0018816673456503175,1,3.0,0.01735308351626541,0.07359390567242197,0.06585819758711575
959,2019-10-29,47.7400016784668,ENB.TO,0.6599425453914768,0.9160517017506107,-0.41581879568417435,-0.8911410133273301,47.04700050354004,46.14640022277832,-0.9031068830923793,-1.2800548130821774,46.631033628820624,46.54144851747084,-0.08428594314495695,1.99882659164764,-0.46359104857830497,0.2581332955533182,48.440795215437525,45.5998717462324,-0.3346203235567378,0.7291303261664857,-0.7291303261664833,-1.4283726943280695,-1.2396275478496939,1.8102980917920353,1.4227536213567726,0.005027185909752152,-1,3.0,0.015919528588454135,0.07247588946008077,-0.10557186297294707
960,2019-10-30,47.97999954223633,ENB.TO,-0.2902706737534792,0.6405491146647803,-0.5719885304399005,-0.9772495406471736,47.12100048065186,46.20640022277832,-1.0184573318020094,-1.3894847832508166,46.68393425287614,46.55576245801578,0.05226509753998783,2.0462961880145536,-0.5577817617810368,0.4309309550682772,48.532554860341364,45.65377873239139,0.16250710862474402,0.9774910271020927,-0.9774910271020898,-1.705381289740008,-1.5166507306411736,1.9030076322416496,1.6047658077606675,-0.00020838519442667458,1,3.0,0.03272196143816464,0.06148396813431756,-0.0737807617611822
961,2019-10-31,47.970001220703125,ENB.TO,-0.1207544805224873,0.6141325446100192,-0.3959172822341082,-0.9065054241850485,47.24500045776367,46.27760025024414,-0.9558162929226238,-1.3402915129789463,46.734368251614455,46.56983448550521,0.233230789285987,2.06467990243867,-0.5415978124305855,0.19211073731173636,48.53744978656725,45.854217134412565,-0.8176564738840304,0.9246801855596458,-0.9246801855596434,-1.308093024308075,-1.1542932412531162,1.6516613213933158,1.1060144198649502,0.010006244111354423,-1,5.0,0.04106727862987092,0.05065666548549097,-0.10444031704690115
962,2019-11-01,48.45000076293945,ENB.TO,-0.3166583565238549,1.0698852064492401,-0.8045346866408373,-1.1474296760504439,47.37550048828125,46.34540023803711,-1.253303855768851,-1.6019379076162763,46.80164795794092,46.588542607668735,0.4207735910224068,2.1003893656751966,-0.9927101396146445,0.4061209744301017,48.54338596579578,46.12461419187838,0.05672810306073159,0.92391559184256,-0.9239155918425577,-1.610984667079283,-1.722947223449223,2.143473328357056,1.9259586078083015,0.0006191698415787261,1,5.0,0.04582037917539106,0.043756427213648585,-0.2596491565110025
963,2019-11-04,48.47999954223633,ENB.TO,-0.32178332380376673,1.3496181688878381,-0.679712972586665,-1.078536234969002,47.48300037384033,46.426200256347656,-1.1853790285791925,-1.5472580292938023,46.867465667128975,46.607363074679355,0.653233298967697,2.1179423243648503,-0.9306181180158044,0.2921267441704623,48.63233135534984,46.26633540795583,-0.10706315689448108,0.8937248037648142,-0.8937248037648118,-1.3531853214911558,-1.6562002502903148,2.1839683970952604,2.0445101575177076,0.0024752255160445102,1,5.0,0.05961219919423999,0.04806109432869787,-0.10705442812942711
